contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
AAPL260123C00145000,2026-01-20 17:03:01+00:00,145.0,106.07,99.6,100.95,-12.010002,-10.171072,69.0,70.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-23
AAPL260123C00150000,2026-01-16 20:22:22+00:00,150.0,106.29,94.0,96.9,0.0,0.0,,12.0,2.144535888671875,True,REGULAR,USD,2026-01-23
AAPL260123C00155000,2026-01-20 19:34:11+00:00,155.0,92.66,89.1,92.1,-25.239998,-21.40797,2.0,2.0,2.2343794140624995,True,REGULAR,USD,2026-01-23
AAPL260123C00170000,2026-01-20 17:38:11+00:00,170.0,80.63,74.0,76.9,-5.4900055,-6.374832,1.0,3.0,1.65625171875,True,REGULAR,USD,2026-01-23
AAPL260123C00175000,2026-01-14 20:45:35+00:00,175.0,85.4,69.05,71.95,0.0,0.0,,10.0,1.5927754736328121,True,REGULAR,USD,2026-01-23
AAPL260123C00180000,2026-01-12 20:44:39+00:00,180.0,81.25,64.25,66.9,0.0,0.0,,2.0,1.4296903515625,True,REGULAR,USD,2026-01-23
AAPL260123C00185000,2026-01-16 20:32:53+00:00,185.0,71.26,58.9,61.95,0.0,0.0,2.0,3.0,1.365237548828125,True,REGULAR,USD,2026-01-23
AAPL260123C00190000,2026-01-20 18:15:30+00:00,190.0,59.81,54.6,55.95,-5.999996,-9.11715,16.0,18.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-23
AAPL260123C00195000,2026-01-16 15:17:33+00:00,195.0,62.31,49.15,51.95,0.0,0.0,1.0,4.0,1.1474652001953123,True,REGULAR,USD,2026-01-23
AAPL260123C00200000,2026-01-20 19:57:07+00:00,200.0,47.05,44.5,46.95,-9.639999,-17.004763,14.0,55.0,1.0410204199218753,True,REGULAR,USD,2026-01-23
AAPL260123C00205000,2026-01-20 18:35:19+00:00,205.0,44.21,39.3,42.0,-6.16,-12.229502,80.0,111.0,0.965820654296875,True,REGULAR,USD,2026-01-23
AAPL260123C00210000,2026-01-20 15:19:48+00:00,210.0,41.87,34.8,36.5,-5.299999,-11.235954,16.0,43.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-23
AAPL260123C00215000,2026-01-16 16:24:58+00:00,215.0,41.37,28.95,32.0,0.0,0.0,31.0,52.0,0.7539087109375,True,REGULAR,USD,2026-01-23
AAPL260123C00220000,2026-01-20 20:29:07+00:00,220.0,25.12,24.7,26.3,-10.429998,-29.338957,39.0,108.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-23
AAPL260123C00225000,2026-01-20 19:33:22+00:00,225.0,22.57,19.9,21.1,-8.23,-26.720778,79.0,312.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-23
AAPL260123C00230000,2026-01-20 20:29:00+00:00,230.0,15.75,15.4,16.1,-10.049999,-38.953487,85.0,210.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-23
AAPL260123C00232500,2026-01-16 19:31:43+00:00,232.5,23.75,12.85,13.4,0.0,0.0,,801.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-23
AAPL260123C00235000,2026-01-20 20:29:00+00:00,235.0,11.0,10.55,11.1,-10.200001,-48.11321,72.0,107.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-23
AAPL260123C00237500,2026-01-20 20:29:07+00:00,237.5,8.48,8.35,8.55,-9.970001,-54.037945,123.0,234.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-23
AAPL260123C00240000,2026-01-20 20:31:22+00:00,240.0,6.51,6.55,6.65,-9.26,-58.719086,1010.0,2460.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-23
AAPL260123C00242500,2026-01-20 20:30:26+00:00,242.5,4.7,4.65,4.75,-8.62,-64.714714,375.0,46.0,0.19385571777343752,True,REGULAR,USD,2026-01-23
AAPL260123C00245000,2026-01-20 20:30:55+00:00,245.0,3.05,3.05,3.1,-7.95,-72.27273,4257.0,1227.0,0.2087481469726562,True,REGULAR,USD,2026-01-23
AAPL260123C00247500,2026-01-20 20:31:04+00:00,247.5,1.9,1.94,1.97,-6.9,-78.40909,10105.0,657.0,0.22754678710937498,False,REGULAR,USD,2026-01-23
AAPL260123C00250000,2026-01-20 20:31:16+00:00,250.0,1.1,1.09,1.1,-5.46,-83.231705,31405.0,3895.0,0.23120885986328127,False,REGULAR,USD,2026-01-23
AAPL260123C00252500,2026-01-20 20:31:31+00:00,252.5,0.6,0.6,0.61,-4.1,-87.23405,40515.0,1042.0,0.241218525390625,False,REGULAR,USD,2026-01-23
AAPL260123C00255000,2026-01-20 20:31:15+00:00,255.0,0.32,0.3,0.32,-2.75,-89.869286,61319.0,5399.0,0.24951922363281248,False,REGULAR,USD,2026-01-23
AAPL260123C00257500,2026-01-20 20:30:56+00:00,257.5,0.17,0.17,0.18,-1.6800001,-90.81081,27766.0,7215.0,0.26367923828125,False,REGULAR,USD,2026-01-23
AAPL260123C00260000,2026-01-20 20:30:55+00:00,260.0,0.11,0.1,0.11,-0.91999996,-89.32038,30762.0,14720.0,0.28125718749999995,False,REGULAR,USD,2026-01-23
AAPL260123C00262500,2026-01-20 20:29:28+00:00,262.5,0.07,0.07,0.08,-0.47000003,-87.03704,11187.0,10494.0,0.304694453125,False,REGULAR,USD,2026-01-23
AAPL260123C00265000,2026-01-20 20:30:45+00:00,265.0,0.04,0.04,0.06,-0.24000001,-85.71429,21965.0,16525.0,0.32813171874999997,False,REGULAR,USD,2026-01-23
AAPL260123C00267500,2026-01-20 20:30:52+00:00,267.5,0.03,0.03,0.04,-0.14,-77.77777,11661.0,10566.0,0.3437565625,False,REGULAR,USD,2026-01-23
AAPL260123C00270000,2026-01-20 20:30:40+00:00,270.0,0.02,0.02,0.03,-0.09,-81.818184,5559.0,13491.0,0.36524072265625,False,REGULAR,USD,2026-01-23
AAPL260123C00272500,2026-01-20 20:29:36+00:00,272.5,0.02,0.01,0.03,-0.04,-66.66667,6494.0,6226.0,0.398443515625,False,REGULAR,USD,2026-01-23
AAPL260123C00275000,2026-01-20 20:29:06+00:00,275.0,0.01,0.01,0.02,-0.04,-66.66667,6672.0,22989.0,0.4101621484375,False,REGULAR,USD,2026-01-23
AAPL260123C00277500,2026-01-20 20:27:36+00:00,277.5,0.01,0.01,0.02,-0.03,-75.0,1481.0,3889.0,0.437505625,False,REGULAR,USD,2026-01-23
AAPL260123C00280000,2026-01-20 20:27:36+00:00,280.0,0.01,0.01,0.02,-0.01,-50.0,2799.0,9681.0,0.4687553125,False,REGULAR,USD,2026-01-23
AAPL260123C00282500,2026-01-20 20:12:54+00:00,282.5,0.01,0.0,0.01,-0.02,-66.66667,603.0,1519.0,0.46094289062500005,False,REGULAR,USD,2026-01-23
AAPL260123C00285000,2026-01-20 20:18:32+00:00,285.0,0.01,0.0,0.01,-0.01,-50.0,1420.0,8275.0,0.49219257812500006,False,REGULAR,USD,2026-01-23
AAPL260123C00287500,2026-01-20 17:16:54+00:00,287.5,0.01,0.0,0.01,0.0,0.0,4.0,699.0,0.51562984375,False,REGULAR,USD,2026-01-23
AAPL260123C00290000,2026-01-20 20:27:07+00:00,290.0,0.01,0.0,0.01,-0.01,-50.0,206.0,4924.0,0.51562984375,False,REGULAR,USD,2026-01-23
AAPL260123C00292500,2026-01-16 20:59:02+00:00,292.5,0.01,0.0,0.01,0.0,0.0,241.0,335.0,0.5312546875,False,REGULAR,USD,2026-01-23
AAPL260123C00295000,2026-01-20 18:35:49+00:00,295.0,0.01,0.0,0.01,0.0,0.0,57.0,4793.0,0.5625043750000001,False,REGULAR,USD,2026-01-23
AAPL260123C00297500,2026-01-14 16:30:03+00:00,297.5,0.02,0.0,0.01,0.0,0.0,75.0,132.0,0.57812921875,False,REGULAR,USD,2026-01-23
AAPL260123C00300000,2026-01-20 19:26:54+00:00,300.0,0.01,0.0,0.01,0.0,0.0,9.0,3058.0,0.6093789062500001,False,REGULAR,USD,2026-01-23
AAPL260123C00305000,2026-01-20 20:15:51+00:00,305.0,0.01,0.0,0.01,-0.02,-66.66667,14.0,521.0,0.6562534375000001,False,REGULAR,USD,2026-01-23
AAPL260123C00310000,2026-01-20 14:30:04+00:00,310.0,0.01,0.0,0.01,0.0,0.0,11.0,516.0,0.6875031250000001,False,REGULAR,USD,2026-01-23
AAPL260123C00315000,2026-01-13 19:15:46+00:00,315.0,0.01,0.01,0.01,0.0,0.0,1.0,384.0,0.7812521875,False,REGULAR,USD,2026-01-23
AAPL260123C00320000,2026-01-20 18:49:54+00:00,320.0,0.03,0.0,0.01,0.01,50.0,1.0,58.0,0.7812521875,False,REGULAR,USD,2026-01-23
AAPL260123C00325000,2026-01-14 16:38:45+00:00,325.0,0.01,0.0,0.01,0.0,0.0,1.0,119.0,0.8281267187499999,False,REGULAR,USD,2026-01-23
AAPL260123C00330000,2026-01-20 18:37:50+00:00,330.0,0.01,0.0,0.01,-0.02,-66.66667,12.0,144.0,0.87500125,False,REGULAR,USD,2026-01-23
AAPL260123C00335000,2026-01-14 20:12:16+00:00,335.0,0.01,0.0,0.01,0.0,0.0,1.0,77.0,0.9062509375,False,REGULAR,USD,2026-01-23
AAPL260123C00340000,2025-12-22 20:34:58+00:00,340.0,0.02,0.0,0.01,0.0,0.0,585.0,585.0,0.937500625,False,REGULAR,USD,2026-01-23
AAPL260123C00350000,2026-01-12 15:59:41+00:00,350.0,0.01,0.0,0.01,0.0,0.0,5.0,12.0,1.0312548437500002,False,REGULAR,USD,2026-01-23
AAPL260123C00355000,2025-12-18 14:46:03+00:00,355.0,0.01,0.0,0.01,0.0,0.0,1.0,5.0,1.0625046875000002,False,REGULAR,USD,2026-01-23
AAPL260123C00360000,2025-12-17 18:55:28+00:00,360.0,0.01,0.0,0.01,0.0,0.0,1.0,1.0,1.09375453125,False,REGULAR,USD,2026-01-23
AAPL260123C00365000,2026-01-15 18:32:44+00:00,365.0,0.01,0.0,0.01,0.0,0.0,8.0,19.0,1.125004375,False,REGULAR,USD,2026-01-23
AAPL260123C00400000,2026-01-16 14:30:03+00:00,400.0,0.01,0.0,0.01,0.0,0.0,1.0,3.0,1.3750031249999999,False,REGULAR,USD,2026-01-23
AAPL260130C00120000,2026-01-16 20:31:56+00:00,120.0,136.3,124.8,127.65,0.0,0.0,,2.0,2.2978558178710937,True,REGULAR,USD,2026-01-30
AAPL260130C00155000,2026-01-09 14:46:55+00:00,155.0,103.73,89.0,92.35,0.0,0.0,,2.0,1.4614284741210937,True,REGULAR,USD,2026-01-30
AAPL260130C00170000,2026-01-08 15:42:51+00:00,170.0,87.23,74.05,77.45,0.0,0.0,6.0,7.0,1.2412147314453121,True,REGULAR,USD,2026-01-30
AAPL260130C00175000,2026-01-15 20:04:33+00:00,175.0,82.98,69.8,72.85,0.0,0.0,,1.0,1.2651403930664062,True,REGULAR,USD,2026-01-30
AAPL260130C00180000,2026-01-20 18:57:53+00:00,180.0,68.8,64.65,67.3,-8.839996,-11.385879,1.0,15.0,1.0336962377929688,True,REGULAR,USD,2026-01-30
AAPL260130C00185000,2026-01-13 15:47:27+00:00,185.0,75.07,60.15,62.85,0.0,0.0,1.0,2.0,1.0952193676757815,True,REGULAR,USD,2026-01-30
AAPL260130C00190000,2026-01-20 18:15:30+00:00,190.0,59.95,54.9,56.3,-6.619999,-9.944418,16.0,21.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-30
AAPL260130C00195000,2025-12-17 15:01:29+00:00,195.0,81.7,50.2,52.9,0.0,0.0,,3.0,0.9409185595703125,True,REGULAR,USD,2026-01-30
AAPL260130C00200000,2026-01-20 18:57:53+00:00,200.0,48.55,45.7,47.4,-7.450001,-13.303573,14.0,61.0,0.7607445800781252,True,REGULAR,USD,2026-01-30
AAPL260130C00205000,2026-01-20 20:29:00+00:00,205.0,40.9,40.2,41.15,-10.82,-20.92034,5.0,48.0,1.0000000000000003e-05,True,REGULAR,USD,2026-01-30
AAPL260130C00210000,2026-01-20 18:49:27+00:00,210.0,39.03,35.35,36.7,-7.9400024,-16.904411,18.0,87.0,0.2500075,True,REGULAR,USD,2026-01-30
AAPL260130C00215000,2026-01-20 18:57:53+00:00,215.0,34.3,30.2,32.3,-7.9000015,-18.72038,11.0,30.0,0.524418818359375,True,REGULAR,USD,2026-01-30
